RIDE_ID,started_on,created_date,updated_date,completed_on,distance_travelled,end_location_lat,end_location_long,driver_rating,rider_rating,active_driver_id,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,rider_id,round_up_amount,promocode_redemption_id,driver_reached_on,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driver_accepted_on,esimtated_time_arrive,tipped_on,tip,driving_time_to_rider,dispatch_location_lat,dispatch_location_long,driving_distance_to_rider,dispatched_on,status,driver_id,car_id,color,make,model,year,car_categories_bitmask,rating,CO2 emission (g/km)
1323746,2017-03-24 14:25:21-05:00,2017-03-24 14:17:58-05:00,2017-03-24 14:36:05-05:00,2017-03-24 14:34:43-05:00,7113.0,30.399,-97.645,5.0,5.0,605822,,b'REGULAR',,1.0,-97.699,30.417,150803,0.0,,2017-03-24 14:25:15-05:00,1.5,10.32,0.99,0.25,2.34,2017-03-24 09:18:31-05:00,1969-12-31 18:00:00.000000498-06:00,,,404.0,-97.645,-97.645,3126.0,3/24/17 19:17,b'DECLINED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
25,2016-06-06 11:49:19-05:00,2016-06-06 11:44:10-05:00,2016-06-06 13:10:03-05:00,2016-06-06 11:56:56-05:00,2692.0,30.283,-97.747,3.0,5.0,13,,b'REGULAR',,0.0,-97.752,30.269,13,,,2016-06-06 11:44:22-05:00,1.5,7.42,1.5,0.25,1.91,,,,,,-97.747,-97.747,,6/6/16 16:44,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
37,2016-06-06 19:02:14-05:00,2016-06-06 18:50:40-05:00,2016-06-10 21:10:34-05:00,2016-06-06 19:12:31-05:00,4728.0,30.272,-97.753,5.0,5.0,24,,b'REGULAR',,0.0,-97.763,30.297,19,,,2016-06-06 19:02:07-05:00,1.5,9.98,1.5,0.25,2.57,,,,,,-97.753,-97.753,,6/6/16 23:50,b'DECLINED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
997485,2017-02-19 01:17:35-06:00,2017-02-19 01:14:57-06:00,2017-03-04 12:38:26-06:00,2017-02-19 01:33:40-06:00,13279.0,30.254,-97.831,5.0,5.0,447750,,b'REGULAR',,2.0,-97.749,30.27,63484,0.0,,2017-02-19 01:16:42-06:00,1.5,29.67,0.99,0.25,4.02,2017-02-18 19:15:07-06:00,1969-12-31 18:00:00.000000098-06:00,,,98.0,-97.831,-97.831,130.0,2/19/17 7:14,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
1369211,2017-03-29 20:22:57-05:00,2017-03-29 20:20:08-05:00,2017-03-29 22:31:16-05:00,2017-03-29 20:32:05-05:00,3451.0,30.258,-97.76,5.0,5.0,627366,,b'REGULAR',,1.0,-97.742,30.267,245480,0.0,,2017-03-29 20:22:53-05:00,1.5,7.99,0.99,0.25,2.29,2017-03-29 15:20:13-05:00,1969-12-31 18:00:00.000000103-06:00,3/30/17 3:31,2.0,103.0,-97.76,-97.76,164.0,3/30/17 1:20,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
956878,2017-02-14 23:19:47-06:00,2017-02-14 23:17:53-06:00,2017-02-15 12:19:02-06:00,2017-02-14 23:24:01-06:00,1679.0,30.261,-97.747,5.0,5.0,428700,,b'LUXURY',,1.0,-97.749,30.269,12976,0.0,,2017-02-14 23:19:36-06:00,5.0,12.66,3.75,0.5,2.12,2017-02-14 17:17:57-06:00,1969-12-31 18:00:00.000000108-06:00,,,108.0,-97.747,-97.747,77.0,2/15/17 5:17,b'DISPATCHED',2159,2159,b'Gold',CADILLAC,XTS,2013,21,4.68,232.5
14828,2016-07-26 13:29:08-05:00,2016-07-26 13:25:32-05:00,2016-07-28 17:29:02-05:00,2016-07-26 13:37:41-05:00,4340.0,30.254,-97.731,5.0,5.0,6940,,b'REGULAR',,0.0,-97.746,30.266,2318,0.0,,2016-07-26 13:28:39-05:00,1.5,9.28,1.5,0.25,2.14,2016-07-26 08:25:38-05:00,,,,270.0,-97.731,-97.731,,7/26/16 18:25,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
223721,2016-10-10 06:00:38-05:00,2016-10-10 05:49:59-05:00,2016-10-10 06:13:59-05:00,2016-10-10 06:13:12-05:00,12332.0,30.203,-97.666,5.0,5.0,96412,,b'REGULAR',,1.0,-97.753,30.211,60403,0.0,,2016-10-10 05:57:10-05:00,1.5,13.87,0.99,0.25,3.14,2016-10-10 00:50:06-05:00,1969-12-31 18:00:00.000000567-06:00,10/10/16 11:13,2.0,567.0,-97.666,-97.666,,10/10/16 10:49,b'DISPATCHED',3,3,b'Black',INFINITI,QX60,2015,7,5.0,226.0
25,2016-06-06 11:49:19-05:00,2016-06-06 11:44:10-05:00,2016-06-06 13:10:03-05:00,2016-06-06 11:56:56-05:00,2692.0,30.283,-97.747,3.0,5.0,13,,b'REGULAR',,0.0,-97.752,30.269,13,,,2016-06-06 11:44:22-05:00,1.5,7.42,1.5,0.25,1.91,,,,,,-97.747,-97.747,,6/6/16 16:44,b'DISPATCHED',1,1,b'Black',CADILLAC,XTS,2013,21,5.0,232.5
1448196,2017-04-07 22:23:53-05:00,2017-04-07 22:18:50-05:00,2017-04-08 02:40:46-05:00,2017-04-07 22:31:50-05:00,3135.0,30.266,-97.742,5.0,5.0,664455,,b'REGULAR',,1.0,-97.72,30.255,156228,0.0,,2017-04-07 22:23:49-05:00,1.5,7.49,0.99,0.25,1.99,2017-04-07 17:18:54-05:00,1969-12-31 18:00:00.000000261-06:00,,,261.0,-97.742,-97.742,1129.0,4/8/17 3:18,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
1382361,2017-03-31 16:15:22-05:00,2017-03-31 16:13:38-05:00,2017-03-31 16:57:58-05:00,2017-03-31 16:57:44-05:00,22133.0,30.393,-97.845,5.0,5.0,633792,,b'REGULAR',,1.0,-97.742,30.27,246887,0.0,,2017-03-31 16:15:00-05:00,1.5,27.99,0.99,0.25,10.59,2017-03-31 11:13:41-05:00,1969-12-31 18:00:00.000000126-06:00,3/31/17 21:57,2.0,126.0,-97.845,-97.845,274.0,3/31/17 21:13,b'DISPATCHED',4684,4684,b'White',CADILLAC,XTS,2013,21,4.98,232.5
